Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Protein families
Q9FMD8	BGL02_ARATH	reviewed	Putative beta-glucosidase 2 (AtBGLU2) (EC 3.2.1.21)	BGLU2 At5g16580 MTG13.2	Arabidopsis thaliana (Mouse-ear cress)	299	Glycosyl hydrolase 1 family
O65458	BGL03_ARATH	reviewed	Beta-glucosidase 3 (AtBGLU3) (EC 3.2.1.21)	BGLU3 At4g22100 F1N20.200	Arabidopsis thaliana (Mouse-ear cress)	507	Glycosyl hydrolase 1 family
Q9ZUI3	BGL04_ARATH	reviewed	Beta-glucosidase 4 (AtBGLU4) (EC 3.2.1.21)	BGLU4 At1g60090 T2K10.15	Arabidopsis thaliana (Mouse-ear cress)	512	Glycosyl hydrolase 1 family
Q3ECW8	BGL01_ARATH	reviewed	Beta-glucosidase 1 (AtBGLU1) (EC 3.2.1.21)	BGLU1 At1g45191 T2P3	Arabidopsis thaliana (Mouse-ear cress)	517	Glycosyl hydrolase 1 family
Q5QMT0	BGL01_ORYSJ	reviewed	Beta-glucosidase 1 (Os1bglu1) (EC 3.2.1.21)	BGLU1 Os01g0508000 LOC_Os01g32364 OSJNBa0094H06.33	Oryza sativa subsp. japonica (Rice)	516	Glycosyl hydrolase 1 family
Q5N863	BGL04_ORYSJ	reviewed	Beta-glucosidase 4 (Os1bglu4) (EC 3.2.1.21)	BGLU4 Os01g0897600 LOC_Os01g67220 OsJ_04409 P0506A10.5 P0674H09.22	Oryza sativa subsp. japonica (Rice)	483	Glycosyl hydrolase 1 family
B7F8N7	BGL02_ORYSJ	reviewed	Beta-glucosidase 2 (Os1bglu2) (EC 3.2.1.21)	BGLU2 Os01g0813700 LOC_Os01g59819	Oryza sativa subsp. japonica (Rice)	500	Glycosyl hydrolase 1 family
Q5JK35	BGL05_ORYSJ	reviewed	Beta-glucosidase 5 (Os1bglu5) (EC 3.2.1.21)	BGLU5 Os01g0930800 LOC_Os01g70520 OSJNBa0052O12.35 P0506E04.13	Oryza sativa subsp. japonica (Rice)	513	Glycosyl hydrolase 1 family
Q682B4	BGL06_ARATH	reviewed	Putative beta-glucosidase 6 (AtBGLU6) (EC 3.2.1.21)	BGLU6 At1g60270 T13D8.16	Arabidopsis thaliana (Mouse-ear cress)	379	Glycosyl hydrolase 1 family
Q8L7J2	BGL06_ORYSJ	reviewed	Beta-glucosidase 6 (Os3bglu6) (EC 3.2.1.21)	BGLU6 Os03g0212800 LOC_Os03g11420	Oryza sativa subsp. japonica (Rice)	521	Glycosyl hydrolase 1 family
Q8RXN9	BGL05_ARATH	reviewed	Putative beta-glucosidase 5 (AtBGLU5) (EC 3.2.1.21)	BGLU5 At1g60260 T13D8.15	Arabidopsis thaliana (Mouse-ear cress)	500	Glycosyl hydrolase 1 family
Q9LZJ1	BGL07_ARATH	reviewed	Beta-glucosidase 7 (AtBGLU7) (EC 3.2.1.21)	BGLU7 At3g62740 F26K9.170	Arabidopsis thaliana (Mouse-ear cress)	502	Glycosyl hydrolase 1 family
Q8RZL1	BGL03_ORYSJ	reviewed	Beta-glucosidase 3 (Os1bglu3) (EC 3.2.1.21)	BGLU3 Os01g0813800 LOC_Os01g59840 OSJNBa0085D07.14-1 P0432B10.18	Oryza sativa subsp. japonica (Rice)	505	Glycosyl hydrolase 1 family
Q75I93	BGL07_ORYSJ	reviewed	Beta-glucosidase 7 (Os3bglu7) (EC 3.2.1.21)	BGLU7 BGLU1 Os03g0703000 LOC_Os03g49600 OSJNBa0004L11.16	Oryza sativa subsp. japonica (Rice)	504	Glycosyl hydrolase 1 family
Q67XN2	BGL08_ARATH	reviewed	Beta-glucosidase 8 (AtBGLU8) (EC 3.2.1.21)	BGLU8 At3g62750 F26K9.180	Arabidopsis thaliana (Mouse-ear cress)	497	Glycosyl hydrolase 1 family
Q9STP4	BGL09_ARATH	reviewed	Beta-glucosidase 9 (AtBGLU9) (EC 3.2.1.21)	BGLU9 At4g27820 T27E11.60	Arabidopsis thaliana (Mouse-ear cress)	506	Glycosyl hydrolase 1 family
Q93ZI4	BGL10_ARATH	reviewed	Beta-glucosidase 10 (AtBGLU10) (EC 3.2.1.21)	BGLU10 At4g27830 T27E11.70	Arabidopsis thaliana (Mouse-ear cress)	508	Glycosyl hydrolase 1 family
Q75I94	BGL08_ORYSJ	reviewed	Beta-glucosidase 8 (Os3bglu8) (EC 3.2.1.21)	BGLU8 Os03g0703100 LOC_Os03g49610 OsJ_12263 OSJNBa0004L11.15	Oryza sativa subsp. japonica (Rice)	568	Glycosyl hydrolase 1 family
B7ECS8	BGL09_ORYSJ	reviewed	Putative beta-glucosidase 9 (Os4bglu9) (EC 3.2.1.21)	BGLU9 Os04g0474300 LOC_Os04g39814	Oryza sativa subsp. japonica (Rice)	316	Glycosyl hydrolase 1 family
B3H5Q1	BGL11_ARATH	reviewed	Beta-glucosidase 11 (AtBGLU11) (EC 3.2.1.21)	BGLU11 At1g02850 F22D16.15	Arabidopsis thaliana (Mouse-ear cress)	521	Glycosyl hydrolase 1 family
Q7XKV4	BGL12_ORYSJ	reviewed	Beta-glucosidase 12 (Os4bglu12) (EC 3.2.1.21)	BGLU12 Os04g0474800 LOC_Os04g39880 OsJ_15166 OSJNBa0022H21.3	Oryza sativa subsp. japonica (Rice)	510	Glycosyl hydrolase 1 family
Q9FH03	BGL12_ARATH	reviewed	Beta-glucosidase 12 (AtBGLU12) (EC 3.2.1.21)	BGLU12 At5g42260 K5J14.7	Arabidopsis thaliana (Mouse-ear cress)	507	Glycosyl hydrolase 1 family
Q7XKV5	BGL11_ORYSJ	reviewed	Beta-glucosidase 11 (Os4bglu11) (EC 3.2.1.21)	BGLU11 Os04g0474700 Os04g0474600 LOC_Os04g39864 OSJNBa0022H21.2	Oryza sativa subsp. japonica (Rice)	529	Glycosyl hydrolase 1 family
Q9LU02	BGL13_ARATH	reviewed	Beta-glucosidase 13 (AtBGLU13) (EC 3.2.1.21)	BGLU13 At5g44640 K15C23.9	Arabidopsis thaliana (Mouse-ear cress)	507	Glycosyl hydrolase 1 family
Q7F9K4	BGL10_ORYSJ	reviewed	Beta-glucosidase 10 (Os4bglu10) (EC 3.2.1.21)	BGLU10 Os04g0474500 LOC_Os04g39840 OsJ_17051 OSJNBa0022H21.1	Oryza sativa subsp. japonica (Rice)	533	Glycosyl hydrolase 1 family
Q9SLA0	BGL14_ARATH	reviewed	Beta-glucosidase 14 (AtBGLU14) (EC 3.2.1.21)	BGLU14 At2g25630 F3N11.8	Arabidopsis thaliana (Mouse-ear cress)	489	Glycosyl hydrolase 1 family
Q7XKV2	BGL13_ORYSJ	reviewed	Beta-glucosidase 13 (Os4bglu13) (EC 3.2.1.21)	BGLU13 Os04g0474900 LOC_Os04g39900 OsJ_15167 OSJNBa0022H21.5	Oryza sativa subsp. japonica (Rice)	506	Glycosyl hydrolase 1 family
Q7XPY5	BGL15_ORYSJ	reviewed	Putative beta-glucosidase 15 (Os4bglu15) (EC 3.2.1.21)	BGLU15 Os04g0513300 LOC_Os04g43380 OSJNBa0004N05.23	Oryza sativa subsp. japonica (Rice)	360	Glycosyl hydrolase 1 family
Q9M1D0	BGL16_ARATH	reviewed	Beta-glucosidase 16 (AtBGLU16) (EC 3.2.1.21) (Protein YELLOW-LEAF-SPECIFIC GENE 1)	BGLU16 YLS1 At3g60130 T2O9.110	Arabidopsis thaliana (Mouse-ear cress)	514	Glycosyl hydrolase 1 family
Q7XSK1	BGL17_ORYSJ	reviewed	Putative beta-glucosidase 17 (Os4bglu17) (EC 3.2.1.21)	BGLU17 Os04g0513700 LOC_Os04g43400 OSJNBa0004N05.25 OSJNBb0070J16.2	Oryza sativa subsp. japonica (Rice)	302	Glycosyl hydrolase 1 family
O64879	BGL15_ARATH	reviewed	Beta-glucosidase 15 (AtBGLU15) (EC 3.2.1.21)	BGLU15 At2g44450 F4I1.26	Arabidopsis thaliana (Mouse-ear cress)	506	Glycosyl hydrolase 1 family
Q7XSK2	BGL16_ORYSJ	reviewed	Beta-glucosidase 16 (Os4bglu16) (EC 3.2.1.21)	BGLU16 Os04g0513400 LOC_Os04g43390 OSJNBa0004N05.24 OSJNBb0070J16.1	Oryza sativa subsp. japonica (Rice)	516	Glycosyl hydrolase 1 family
Q9LIF9	BGL19_ARATH	reviewed	Beta-glucosidase 19 (AtBGLU19) (EC 3.2.1.21)	BGLU19 At3g21370 MHC9.5	Arabidopsis thaliana (Mouse-ear cress)	527	Glycosyl hydrolase 1 family
O64882	BGL17_ARATH	reviewed	Beta-glucosidase 17 (AtBGLU17) (EC 3.2.1.21)	BGLU17 At2g44480 F4I1.29	Arabidopsis thaliana (Mouse-ear cress)	517	Glycosyl hydrolase 1 family
Q7XSK0	BGL18_ORYSJ	reviewed	Beta-glucosidase 18 (Os4bglu18) (EC 3.2.1.21)	BGLU18 Os04g0513900 LOC_Os04g43410 OSJNBa0004N05.26 OSJNBb0070J16.3	Oryza sativa subsp. japonica (Rice)	505	Glycosyl hydrolase 1 family
Q25BW5	BGL1A_PHACH	reviewed	Beta-glucosidase 1A (EC 3.2.1.21) (Cellobiase 1A)	BGL1A	Phanerochaete chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	462	Glycosyl hydrolase 1 family
Q0DIT2	BGL19_ORYSJ	reviewed	Beta-glucosidase 19 (Os5bglu19) (EC 3.2.1.21)	BGLU19 Os05g0365600 LOC_Os05g30250 OSJNBa0090H02.2 OSJNBb0111K12.10 P0683B02.14	Oryza sativa subsp. japonica (Rice)	528	Glycosyl hydrolase 1 family
Q25BW4	BGL1B_PHACH	reviewed	Beta-glucosidase 1B (EC 3.2.1.21) (Cellobiase 1B)	BGL1B	Phanerochaete chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	540	Glycosyl hydrolase 1 family
Q84WV2	BGL20_ARATH	reviewed	Beta-glucosidase 20 (AtBGLU20) (EC 3.2.1.21)	BGLU20 At1g75940 T4O12.15	Arabidopsis thaliana (Mouse-ear cress)	535	Glycosyl hydrolase 1 family
B9FHH2	BGL20_ORYSJ	reviewed	Beta-glucosidase 20 (Os5bglu20) (EC 3.2.1.21)	BGLU20 Os05g0365700 LOC_Os05g30280 OsJ_18258 OSJNBa0090H02.5 OSJNBb0111K12.13	Oryza sativa subsp. japonica (Rice)	517	Glycosyl hydrolase 1 family
Q9C525	BGL21_ARATH	reviewed	Beta-glucosidase 21 (AtBGLU21) (EC 3.2.1.21) (Protein PHOSPHATE STARVATION-RESPONSE 3.2)	BGLU21 PSR3.2 At1g66270 T27F4.2 T6J19.2	Arabidopsis thaliana (Mouse-ear cress)	524	Glycosyl hydrolase 1 family
Q60DY1	BGL21_ORYSJ	reviewed	Beta-glucosidase 21 (Os5bglu21) (EC 3.2.1.21)	BGLU21 Os05g0366000 LOC_Os05g30300 OsJ_18259 OSJNBa0090H02.7	Oryza sativa subsp. japonica (Rice)	514	Glycosyl hydrolase 1 family
Q9C8Y9	BGL22_ARATH	reviewed	Beta-glucosidase 22 (AtBGLU22) (EC 3.2.1.21)	BGLU22 At1g66280 T27F4.3	Arabidopsis thaliana (Mouse-ear cress)	524	Glycosyl hydrolase 1 family
Q60DX8	BGL22_ORYSJ	reviewed	Beta-glucosidase 22 (Os5bglu22) (EC 3.2.1.21)	BGLU22 Os05g0366600 LOC_Os05g30350 OSJNBa0090H02.10	Oryza sativa subsp. japonica (Rice)	533	Glycosyl hydrolase 1 family
Q9SR37	BGL23_ARATH	reviewed	Beta-glucosidase 23 (AtBGLU23) (EC 3.2.1.21) (Protein PHOSPHATE STARVATION-RESPONSE 3.1)	BGLU23 PSR3.1 PYK10 At3g09260 F3L24.13	Arabidopsis thaliana (Mouse-ear cress)	524	Glycosyl hydrolase 1 family
Q6L597	BGL23_ORYSJ	reviewed	Putative beta-glucosidase 23 (Os5bglu23) (EC 3.2.1.21)	BGLU23 Os05g0366800 LOC_Os05g30390 OJ1393_A07.1 OSJNBa0090H02.13	Oryza sativa subsp. japonica (Rice)	542	Glycosyl hydrolase 1 family
Q9LKR7	BGL24_ARATH	reviewed	Beta-glucosidase 24 (AtBGLU24) (EC 3.2.1.21)	BGLU24 At5g28510 T26D3.6	Arabidopsis thaliana (Mouse-ear cress)	533	Glycosyl hydrolase 1 family
Q0DA21	BGL25_ORYSJ	reviewed	Beta-glucosidase 25 (Os6bglu25) (EC 3.2.1.21)	BGLU25 Os06g0683300 LOC_Os06g46940	Oryza sativa subsp. japonica (Rice)	501	Glycosyl hydrolase 1 family
A3BMZ5	BGL26_ORYSJ	reviewed	Beta-glucosidase 26 (Os7bglu26) (EC 3.2.1.21)	BGLU26 Os07g0656200 LOC_Os07g46280 OsJ_25416	Oryza sativa subsp. japonica (Rice)	510	Glycosyl hydrolase 1 family
Q5Z9Z0	BGL24_ORYSJ	reviewed	Beta-glucosidase 24 (Os6bglu24) (EC 3.2.1.21)	BGLU24 Os06g0320200 LOC_Os06g21570 OsJ_21154 P0592B08.35	Oryza sativa subsp. japonica (Rice)	504	Glycosyl hydrolase 1 family
O64883	BGL26_ARATH	reviewed	Beta-glucosidase 26, peroxisomal (AtBGLU26) (EC 3.2.1.21) (Protein PENETRATION 2)	BGLU26 PEN2 At2g44490 F4I1.30	Arabidopsis thaliana (Mouse-ear cress)	560	Glycosyl hydrolase 1 family
Q84YK7	BGL27_ORYSJ	reviewed	Beta-glucosidase 27 (Os8bglu27) (EC 3.2.1.21)	BGLU27 Os08g0509200 LOC_Os08g39860 B1168A08.29-1 B1168A08.29-2 OSJNBa0016N23.104-1 OSJNBa0016N23.104-2	Oryza sativa subsp. japonica (Rice)	499	Glycosyl hydrolase 1 family
Q9M1D1	BGL27_ARATH	reviewed	Beta-glucosidase 27 (AtBGLU27) (EC 3.2.1.21)	BGLU27 At3g60120 T2O9.100	Arabidopsis thaliana (Mouse-ear cress)	540	Glycosyl hydrolase 1 family
Q4V3B3	BGL28_ARATH	reviewed	Beta-glucosidase 28 (AtBGLU28) (EC 3.2.1.21)	BGLU28 At2g44460 F4I1.27	Arabidopsis thaliana (Mouse-ear cress)	582	Glycosyl hydrolase 1 family
Q8GXT2	BGL29_ARATH	reviewed	Beta-glucosidase 29 (AtBGLU29) (EC 3.2.1.21)	BGLU29 At2g44470 F4I1.28	Arabidopsis thaliana (Mouse-ear cress)	590	Glycosyl hydrolase 1 family
A3C053	BGL29_ORYSJ	reviewed	Beta-glucosidase 29 (Os9bglu29) (EC 3.2.1.21)	BGLU29 Os09g0490400 LOC_Os09g31410 OsJ_29835	Oryza sativa subsp. japonica (Rice)	494	Glycosyl hydrolase 1 family
Q7EXZ4	BGL28_ORYSJ	reviewed	Beta-glucosidase 28 (Os8bglu28) (EC 3.2.1.21)	BGLU28 Os08g0509400 LOC_Os08g39870 B1168A08.31 OSJNBa0016N23.106	Oryza sativa subsp. japonica (Rice)	500	Glycosyl hydrolase 1 family
Q9M1C9	BGL30_ARATH	reviewed	Beta-glucosidase 30 (AtBGLU30) (EC 3.2.1.21) (Protein DARK INDUCIBLE 2) (Protein SENESCENCE-RELATED GENE 2)	BGLU30 DIN2 SRG2 At3g60140 T2O9.120	Arabidopsis thaliana (Mouse-ear cress)	577	Glycosyl hydrolase 1 family
Q9FLU9	BGL31_ARATH	reviewed	Beta-glucosidase 31 (AtBGLU31) (EC 3.2.1.21)	BGLU31 At5g24540 K18P6.7	Arabidopsis thaliana (Mouse-ear cress)	534	Glycosyl hydrolase 1 family
B7F7K7	BGL31_ORYSJ	reviewed	Beta-glucosidase 31 (Os9bglu31) (EC 3.2.1.21)	BGLU31 Os09g0511600 LOC_Os09g33680 OsJ_29984	Oryza sativa subsp. japonica (Rice)	523	Glycosyl hydrolase 1 family
Q0J0G2	BGL32_ORYSJ	reviewed	Beta-glucosidase 32 (Os9bglu32) (EC 3.2.1.21)	BGLU32 Os09g0511700 LOC_Os09g33690	Oryza sativa subsp. japonica (Rice)	508	Glycosyl hydrolase 1 family
Q0J0N4	BGL30_ORYSJ	reviewed	Beta-glucosidase 30 (Os9bglu30) (EC 3.2.1.21)	BGLU30 Os09g0491100 LOC_Os09g31430	Oryza sativa subsp. japonica (Rice)	500	Glycosyl hydrolase 1 family
O48779	BGL33_ARATH	reviewed	Beta-glucosidase 33 (AtBGLU33) (EC 3.2.1.21)	BGLU33 At2g32860 T21L14.20	Arabidopsis thaliana (Mouse-ear cress)	614	Glycosyl hydrolase 1 family
Q9FLU8	BGL32_ARATH	reviewed	Beta-glucosidase 32 (AtBGLU32) (EC 3.2.1.21)	BGLU32 At5g24550 K18P6.8	Arabidopsis thaliana (Mouse-ear cress)	534	Glycosyl hydrolase 1 family
Q8GRX1	BGL34_ARATH	reviewed	Myrosinase 4 (EC 3.2.1.147) (Beta-glucosidase 34) (AtBGLU34) (EC 3.2.1.21) (Sinigrinase 4) (Thioglucosidase 4)	TGG4 BGLU34 At1g47600 F16N3.11	Arabidopsis thaliana (Mouse-ear cress)	511	Glycosyl hydrolase 1 family
Q339X2	BGL34_ORYSJ	reviewed	Beta-glucosidase 34 (Os10bglu34) (EC 3.2.1.21)	BGLU34 Os10g0323500 LOC_Os10g17650 OsJ_31060 OSJNBa0065C16.15	Oryza sativa subsp. japonica (Rice)	510	Glycosyl hydrolase 1 family
Q3ECS3	BGL35_ARATH	reviewed	Myrosinase 5 (EC 3.2.1.147) (Beta-glucosidase 35) (AtBGLU35) (EC 3.2.1.21) (Sinigrinase 5) (Thioglucosidase 5)	TGG5 BGLU35 At1g51470 F5D21.17	Arabidopsis thaliana (Mouse-ear cress)	511	Glycosyl hydrolase 1 family
Q53NF0	BGL35_ORYSJ	reviewed	Putative beta-glucosidase 35 (Os11bglu35) (EC 3.2.1.21)	BGLU35 Os11g0184300 Os11g0184200 LOC_Os11g08120	Oryza sativa subsp. japonica (Rice)	487	Glycosyl hydrolase 1 family
P37702	BGL38_ARATH	reviewed	Myrosinase 1 (EC 3.2.1.147) (Beta-glucosidase 38) (AtBGLU38) (EC 3.2.1.21) (Sinigrinase 1) (Thioglucosidase 1)	TGG1 BGLU38 At5g26000 T1N24.7	Arabidopsis thaliana (Mouse-ear cress)	541	Glycosyl hydrolase 1 family
Q2QSR8	BGL38_ORYSJ	reviewed	Beta-glucosidase 38 (Os12bglu38) (EC 3.2.1.21)	BGLU38 Os12g0420100 LOC_Os12g23170 OsJ_35886	Oryza sativa subsp. japonica (Rice)	492	Glycosyl hydrolase 1 family
Q9FZE0	BGL40_ARATH	reviewed	Beta-glucosidase 40 (AtBGLU40) (EC 3.2.1.21)	BGLU40 At1g26560 T1K7.7	Arabidopsis thaliana (Mouse-ear cress)	510	Glycosyl hydrolase 1 family
Q9FIU7	BGL41_ARATH	reviewed	Putative beta-glucosidase 41 (AtBGLU41) (EC 3.2.1.21)	BGLU41 At5g54570 MRB17.7	Arabidopsis thaliana (Mouse-ear cress)	535	Glycosyl hydrolase 1 family
Q9LV34	BGL43_ARATH	reviewed	Beta-glucosidase 43 (AtBGLU43) (EC 3.2.1.21)	BGLU43 At3g18070 MRC8.6	Arabidopsis thaliana (Mouse-ear cress)	501	Glycosyl hydrolase 1 family
Q9FIW4	BGL42_ARATH	reviewed	Beta-glucosidase 42 (AtBGLU42) (EC 3.2.1.21)	BGLU42 At5g36890 MLF18.1	Arabidopsis thaliana (Mouse-ear cress)	490	Glycosyl hydrolase 1 family
Q9LV33	BGL44_ARATH	reviewed	Beta-glucosidase 44 (AtBGLU44) (EC 3.2.1.21)	BGLU44 At3g18080 MRC8.20	Arabidopsis thaliana (Mouse-ear cress)	512	Glycosyl hydrolase 1 family
O80690	BGL46_ARATH	reviewed	Beta-glucosidase 46 (AtBGLU46) (EC 3.2.1.21)	BGLU46 At1g61820 F8K4.3	Arabidopsis thaliana (Mouse-ear cress)	516	Glycosyl hydrolase 1 family
Q9SVS1	BGL47_ARATH	reviewed	Beta-glucosidase 47 (AtBGLU47) (EC 3.2.1.21)	BGLU47 At4g21760 F17L22.220	Arabidopsis thaliana (Mouse-ear cress)	535	Glycosyl hydrolase 1 family
O80689	BGL45_ARATH	reviewed	Beta-glucosidase 45 (AtBGLU45) (EC 3.2.1.21)	BGLU45 At1g61810 F8K4.2 T13M11.19	Arabidopsis thaliana (Mouse-ear cress)	520	Glycosyl hydrolase 1 family
Q03506	BGLA_BACCI	reviewed	Beta-glucosidase (EC 3.2.1.21) (Amygdalase) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)	bglA	Bacillus circulans	450	Glycosyl hydrolase 1 family
P26208	BGLA_CLOTH	reviewed	Beta-glucosidase A (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)	bglA Cthe_0212	Clostridium thermocellum (strain ATCC 27405 / DSM 1237 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Ruminiclostridium thermocellum)	448	Glycosyl hydrolase 1 family
P22073	BGLA_PAEPO	reviewed	Beta-glucosidase A (BGA) (EC 3.2.1.21) (Amygdalase) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)	bglA	Paenibacillus polymyxa (Bacillus polymyxa)	448	Glycosyl hydrolase 1 family
Q59437	BGLA_ENTAG	reviewed	Beta-glucosidase A (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Gentiobiase)	bglA	Enterobacter agglomerans (Erwinia herbicola) (Pantoea agglomerans)	480	Glycosyl hydrolase 1 family
Q08638	BGLA_THEMA	reviewed	Beta-glucosidase A (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)	bglA	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	446	Glycosyl hydrolase 1 family
P0C946	BGLA_THENE	reviewed	1,4-beta-D-glucan glucohydrolase (Glucan glucohydrolase) (EC 3.2.1.74) (Beta-D-glucoside glucohydrolase) (Beta-glucosidase) (EC 3.2.1.21) (Glucan 1,4-beta-glucosidase) (Fragment)	bglA gghA	Thermotoga neapolitana	425	Glycosyl hydrolase 1 family
B9K7M5	BGLA_THENN	reviewed	1,4-beta-D-glucan glucohydrolase (Glucan glucohydrolase) (EC 3.2.1.74) (Beta-D-glucoside glucohydrolase) (Beta-glucosidase) (EC 3.2.1.21) (Glucan 1,4-beta-glucosidase)	gghA CTN_0782	Thermotoga neapolitana (strain ATCC 49049 / DSM 4359 / NS-E)	444	Glycosyl hydrolase 1 family
P22505	BGLB_PAEPO	reviewed	Beta-glucosidase B (EC 3.2.1.21) (Amygdalase) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)	bglB	Paenibacillus polymyxa (Bacillus polymyxa)	448	Glycosyl hydrolase 1 family
P38645	BGLB_THEBI	reviewed	Thermostable beta-glucosidase B (EC 3.2.1.21) (Amygdalase) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)	bglB	Thermobispora bispora (Microbispora bispora)	473	Glycosyl hydrolase 1 family
Q8GVD0	BGLC_OLEEU	reviewed	Beta-glucosidase (OeGLU) (EC 3.2.1.21)	GLU BGLC	Olea europaea (Common olive)	551	Glycosyl hydrolase 1 family
P94248	BGLFU_BIFBR	reviewed	Bifunctional beta-D-glucosidase/beta-D-fucosidase (EC 3.2.1.21) (EC 3.2.1.38)		Bifidobacterium breve	460	Glycosyl hydrolase 1 family
P12614	BGLS_AGRSA	reviewed	Beta-glucosidase (EC 3.2.1.21) (Amygdalase) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)	abg	Agrobacterium sp. (strain ATCC 21400)	459	Glycosyl hydrolase 1 family
P10482	BGLS_CALSA	reviewed	Beta-glucosidase A (EC 3.2.1.21) (Amygdalase) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)	bglA	Caldicellulosiruptor saccharolyticus (Caldocellum saccharolyticum)	455	Glycosyl hydrolase 1 family
P26204	BGLS_TRIRP	reviewed	Non-cyanogenic beta-glucosidase (EC 3.2.1.21)		Trifolium repens (Creeping white clover)	493	Glycosyl hydrolase 1 family
P26205	BGLT_TRIRP	reviewed	Cyanogenic beta-glucosidase (EC 3.2.1.21) (Linamarase) (Fragment)	LI	Trifolium repens (Creeping white clover)	425	Glycosyl hydrolase 1 family
Q9FYS3	HGGL_SECCE	reviewed	4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase, chloroplastic (EC 3.2.1.182) (Beta-glucosidase) (ScGlu) (EC 3.2.1.21)		Secale cereale (Rye)	568	Glycosyl hydrolase 1 family
Q41761	HGGL2_MAIZE	reviewed	4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 2, chloroplastic (EC 3.2.1.182) (Beta-glucosidase 2) (ZmGlu2) (EC 3.2.1.21)	GLU2	Zea mays (Maize)	563	Glycosyl hydrolase 1 family
P49235	HGGL1_MAIZE	reviewed	4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1, chloroplastic (EC 3.2.1.182) (Beta-D-glucoside glucohydrolase) (Beta-glucosidase 1) (ZmGlu1) (EC 3.2.1.21)	GLU1	Zea mays (Maize)	566	Glycosyl hydrolase 1 family
Q1XH04	HGL1C_WHEAT	reviewed	4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1c, chloroplastic (EC 3.2.1.182) (Beta-glucosidase 1c) (Taglu1c) (EC 3.2.1.21)	GLU1C	Triticum aestivum (Wheat)	570	Glycosyl hydrolase 1 family
D5MTF8	HGL1D_WHEAT	reviewed	4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1d, chloroplastic (EC 3.2.1.182) (Beta-glucosidase 1d) (TaGlu1d) (EC 3.2.1.21)	GLU1D	Triticum aestivum (Wheat)	564	Glycosyl hydrolase 1 family
Q1XIR9	HGL1A_WHEAT	reviewed	4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1a, chloroplastic (EC 3.2.1.182) (Beta-glucosidase 1a) (TaGlu1a) (EC 3.2.1.21)	GLU1A	Triticum aestivum (Wheat)	569	Glycosyl hydrolase 1 family
