Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Protein families
D0CP36	D0CP36_RUELI	unreviewed	Beta-glucosidase A (EC 3.2.1.21)	SL1157_A0174	Ruegeria lacuscaerulensis (strain DSM 11314 / KCTC 2953 / ITI-1157) (Silicibacter lacuscaerulensis)	775	Bacterial glucokinase family; Glycosyl hydrolase 1 family
M4W6Q6	M4W6Q6_9PROT	unreviewed	Beta-glucosidase (EC 3.2.1.21)		alpha proteobacterium U95	775	Bacterial glucokinase family; Glycosyl hydrolase 1 family
Q51723	Q51723_9EURY	unreviewed	Beta-galactosidase (Beta-glucosidase)	celB	Pyrococcus furiosus	472	Glycosyl hydrolase 1 family
O08324	O08324_9EURY	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bglT	Thermococcus sp.	418	Glycosyl hydrolase 1 family
A0A075HLG3	A0A075HLG3_9ARCH	unreviewed	Beta-glucosidase (BglB) (EC 3.2.1.21)	bglB	uncultured marine thaumarchaeote KM3_72_F07	470	Glycosyl hydrolase 1 family
A0A0A7RBQ4	A0A0A7RBQ4_9EURY	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Thermococcus pacificus	487	Glycosyl hydrolase 1 family
R1FT37	R1FT37_9ARCH	unreviewed	Glycosyl hydrolase family 1 (EC 3.2.1.21)	Nst1_550	nanoarchaeote Nst1	366	Glycosyl hydrolase 1 family
H6Q9A0	H6Q9A0_PYROT	unreviewed	Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase (EC 3.2.1.21)	Pogu_1602	Pyrobaculum oguniense (strain DSM 13380 / JCM 10595 / TE7)	358	Glycosyl hydrolase 1 family
C6A200	C6A200_THESM	unreviewed	Beta-glucan glucohydrolase (EC 3.2.1.21)	TSIB_0580	Thermococcus sibiricus (strain MM 739 / DSM 12597)	423	Glycosyl hydrolase 1 family
E7FHY4	E7FHY4_PYRFU	unreviewed	Beta-glucosidase	PF0073	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	472	Glycosyl hydrolase 1 family
Q9HIL6	Q9HIL6_THEAC	unreviewed	Probable beta-galactosidase	Ta1323	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	483	Glycosyl hydrolase 1 family
M5C1D8	M5C1D8_THACB	unreviewed	Beta-glucosidase (EC 3.2.1.21)	BN14_06863 RSOLAG1IB_06295	Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14) (Lettuce bottom rot fungus) (Rhizoctonia solani)	525	Glycosyl hydrolase 1 family
Q8X214	Q8X214_TALEM	unreviewed	Beta-glucosidase (EC 3.2.1.21) (Beta-glucosidase 1) (EC 3.2.1.21)	bg1 bgl1	Talaromyces emersonii	489	Glycosyl hydrolase 1 family
M5C6H3	M5C6H3_THACB	unreviewed	Beta-glucosidase (EC 3.2.1.21)	BN14_09030	Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14) (Lettuce bottom rot fungus) (Rhizoctonia solani)	383	Glycosyl hydrolase 1 family
M5BYZ4	M5BYZ4_THACB	unreviewed	Beta-glucosidase (EC 3.2.1.21)	BN14_06931	Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14) (Lettuce bottom rot fungus) (Rhizoctonia solani)	241	Glycosyl hydrolase 1 family
M5C0E3	M5C0E3_THACB	unreviewed	Beta-glucosidase (EC 3.2.1.21)	BN14_06932	Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14) (Lettuce bottom rot fungus) (Rhizoctonia solani)	265	Glycosyl hydrolase 1 family
A0A0B7FP38	A0A0B7FP38_THACB	unreviewed	Beta-glucosidase (EC 3.2.1.21)	RSOLAG1IB_08733	Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14) (Lettuce bottom rot fungus) (Rhizoctonia solani)	547	Glycosyl hydrolase 1 family
M1NQJ6	M1NQJ6_FUSOX	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bgl1	Fusarium oxysporum (Fusarium vascular wilt)	490	Glycosyl hydrolase 1 family
B8P2C6	B8P2C6_POSPM	unreviewed	Beta-glucosidase (EC 3.2.1.21)	POSPLDRAFT_109743	Postia placenta (strain ATCC 44394 / Madison 698-R) (Brown rot fungus) (Poria monticola)	480	Glycosyl hydrolase 1 family
A2QID8	A2QID8_ASPNC	unreviewed	Aspergillus niger contig An04c0130, genomic contig (EC 3.2.1.21)	An04g03170	Aspergillus niger (strain CBS 513.88 / FGSC A1513)	651	Glycosyl hydrolase 1 family
A2QGL6	A2QGL6_ASPNC	unreviewed	Aspergillus niger contig An03c0120, genomic contig (EC 3.2.1.21)	An03g03740	Aspergillus niger (strain CBS 513.88 / FGSC A1513)	483	Glycosyl hydrolase 1 family
A0A084G332	A0A084G332_9PEZI	unreviewed	Beta-glucosidase 1B (EC 3.2.1.21)	SAPIO_CDS6714	Scedosporium apiospermum	510	Glycosyl hydrolase 1 family
