Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Protein families
A0A098Z798	A0A098Z798_STREE	unreviewed	Beta-glucosidase (EC 3.2.1.21)	Beta-glucosidase (EC 3.2.1.21) A66_00262 BM49_0151	Streptococcus pneumoniae	459	Glycosyl hydrolase 1 family
A0A0F7YKW1	A0A0F7YKW1_STREE	unreviewed	Beta-glucosidase (EC 3.2.1.21)	Beta-glucosidase (EC 3.2.1.21) A66_01814	Streptococcus pneumoniae	469	Glycosyl hydrolase 1 family
Q8Z5B5	Q8Z5B5_SALTI	unreviewed	Beta-glucosidase (EC 3.2.1.21) (BglX protein) (EC 3.2.1.21) (Periplasmic beta-glucosidase) (EC 3.2.1.21)	bglX STY2396 t0689 ERS083263_02154 ERS163520_00149 ERS163527_00070 ERS163532_00070 ERS163535_00070 ERS163537_00070 ERS163557_00401 ERS163565_00070 ERS163586_00070 ERS163587_00438 ERS163590_00070 ERS206728_00576 ERS206733_00070 ERS207146_00438 ERS207151_00439 ERS207157_00906 ERS207160_00070 ERS207162_00078 ERS207176_00070 ERS207180_00070 ERS207196_00070 ERS207197_00438 ERS207216_00071 ERS207223_00071 ERS223145_00070 ERS223177_00438 ERS223181_00740 ERS223182_00490 ERS223187_00438 ERS223188_00450 ERS223201_00450 ERS223209_03513 ERS223238_00418 ERS223242_00420 ERS223248_00436 ERS223253_00438 ERS223257_00070 ERS223259_00439 ERS223263_00096 ERS223315_00438 ERS223339_00070 ERS223363_00071 ERS223402_00418 ERS223506_00070 ERS223509_00418 ERS223555_00438 ERS223590_00096 ERS239527_00437 ERS239550_00149 ERS239568_00149 ERS239579_00437 ERS239623_01004 ERS239663_00071 ERS239667_00070 ERS248915_00070 ERS248943_00435 ERS248971_00070 ERS248991_00069 ERS248994_00070 ERS325052_00152 ERS325082_00439 ERS325086_00070 ERS325091_00437 ERS325097_00438 ERS325101_00437 ERS325105_00070 ERS325113_00438 ERS325121_00439 ERS325129_00070 ERS325134_00676 ERS325137_00070 ERS325141_00071 ERS325145_00070 ERS325153_00070 ERS325165_00071 ERS325172_00435 ERS325177_00436 ERS325178_00451 ERS325179_00511 ERS325180_00070 ERS325181_00705 ERS325182_00070 ERS325183_00070 ERS325184_00070 ERS325185_00070 ERS325186_03741 ERS325188_00435 ERS325189_00436 ERS325190_00070 ERS325191_00437 ERS325192_00437 ERS325193_00070 ERS325194_00438 ERS325195_00438 ERS325196_00432 ERS325197_00070 ERS325198_00071 ERS325200_00437 ERS325201_00070 ERS325202_00070 ERS325203_00434 ERS325205_00070 ERS325206_00070 ERS325208_00070 ERS325210_00071 ERS325211_00070 ERS325213_00436 ERS325214_00071 ERS325215_00438 ERS325216_00438 ERS325217_00437 ERS325218_00436 ERS325219_00070 ERS325221_00436 ERS325223_00436 ERS325224_00438 ERS325225_00425 ERS325226_00437 ERS325227_00070 ERS325228_00070 ERS325229_00070 ERS325230_00070 ERS325231_00070 ERS325232_00438 ERS325234_00070 ERS325235_00436 ERS325236_00587 ERS325237_00070 ERS325238_00416 ERS325239_00437 ERS325240_00071 ERS325241_00070 ERS325242_00433 ERS325243_00070 ERS325244_00070 ERS325246_00439 ERS325249_00439 ERS325250_00070 ERS325251_00069 ERS325252_00070 ERS325254_00437 ERS325255_00070 ERS325256_00638 ERS325257_00070 ERS325258_00070 ERS325259_00511 ERS325260_00435 ERS325261_00414 ERS325262_00070 ERS325263_00070 ERS325265_00070 ERS325266_00439 ERS325267_00070 ERS325270_00439 ERS325271_00438 ERS325273_00537 ERS325274_00070 ERS325275_00070 ERS325277_00495 ERS325278_00629 ERS325280_00070 ERS325281_00435 ERS325282_00438 ERS325283_00436 ERS325284_00437 ERS325285_00436 ERS325286_00436 ERS325287_00438 ERS325288_00417 ERS325289_01440 ERS325290_00070 ERS325292_00437 ERS325294_00070 ERS325295_00437 ERS325296_00437 ERS325297_00437 ERS325298_00437 ERS325299_00437 ERS325301_00071 ERS325302_00416 ERS325303_00438 ERS325304_00438 ERS325305_00070 ERS325306_00070 ERS325307_00070 ERS325308_00070 ERS325309_00070 ERS325310_00438 ERS325312_00438 ERS325314_00436 ERS325317_00437 ERS325318_00435 ERS325319_00437 ERS325320_00438 ERS325321_00438 ERS325323_00438 ERS325324_00070 ERS325325_00071 ERS325326_00069 ERS325327_00438 ERS325328_00436 ERS325329_00071 ERS325333_00070 ERS325334_00070 ERS325335_00437 ERS325336_00436 ERS325337_00070 ERS325338_00071 ERS325340_00070 ERS325342_00439 ERS325343_00438 ERS325344_00070 ERS325345_00071 ERS325348_00070 ERS325349_00438 ERS325350_00096 ERS325351_00070 ERS325353_00070 ERS325355_00436 ERS325356_00437 ERS325357_00070 ERS325359_00438 ERS325361_00070 ERS325363_00070 ERS325365_00439 ERS325366_00437 ERS325369_00070 ERS325371_00437 ERS325373_00437 ERS325374_00070 ERS325375_00070 ERS325378_00437 ERS325380_00070 ERS325381_00436 ERS325382_00437 ERS325383_00070 ERS325389_00072 ERS325390_00437 ERS325391_00438 ERS325394_00071 ERS325396_00071 ERS325397_00436 ERS325398_00070 ERS325400_00416 ERS325401_00070 ERS325403_00281 ERS325406_00070 ERS325407_00070 ERS325412_00070 ERS325413_00574 ERS325415_00440 ERS325418_00070 ERS325420_00418 ERS325421_00437 ERS325423_00071 ERS325426_00418 ERS325428_00070 ERS325429_00438 ERS325432_00354 ERS325434_00070 ERS325436_00070 ERS325438_00071 ERS325439_00438 ERS325443_00071 ERS325445_00072 ERS325446_00070 ERS325447_00436 ERS325452_00436 ERS325454_00070 ERS325455_00393 ERS325456_00074 ERS325458_00417 ERS325460_00437 ERS325461_00070 ERS325463_00437 ERS326214_00070 ERS326229_00071 ERS326234_00070 ERS326249_00072 ERS326256_00438 ERS326259_00070 ERS326267_00434 ERS326268_00438 ERS326271_00070 ERS326275_00435 ERS326278_00072 ERS326288_01085 ERS326314_00070 ERS326331_00070 ERS326335_00416 ERS326373_00435 ERS326389_00437 ERS326407_00438 ERS326412_00070 ERS326420_00439 ERS326422_00417 ERS326438_00444 ERS326456_00071 ERS326462_00071 ERS326469_00449 ERS326475_00070 ERS326491_00418 ERS326499_00070 ERS326513_02858 ERS326518_00437 ERS327352_01097 ERS327356_00438 ERS327363_00418 ERS327376_00070 ERS327392_00439 ERS327434_00439 ERS327487_00078 ERS327489_00438 ERS327497_03770 ERS327509_03708 ERS327515_03375 ERS327549_03321 ERS329529_00070 ERS329544_00070 ERS330823_01064 ERS330826_00422 ERS330884_00687 ERS330891_00072 ERS330892_00071 ERS330901_00070 ERS330902_00418 ERS330922_00439 ERS330924_00484	Salmonella typhi	765	Glycosyl hydrolase 3 family
A0QVF5	A0QVF5_MYCS2	unreviewed	Beta-glucosidase (EC 3.2.1.21) (Glycoside hydrolase family 3 domain protein) (EC 3.2.1.21)	MSMEG_2556 MSMEI_2496	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	749	Glycosyl hydrolase 3 family
X2JAF7	X2JAF7_DROME	unreviewed	CG33090, isoform E (EC 3.2.1.21) (EC 3.2.1.45)	CG33090 Dmel_CG33090	Drosophila melanogaster (Fruit fly)	923	
X2JE45	X2JE45_DROME	unreviewed	CG33090, isoform C (EC 3.2.1.21) (EC 3.2.1.45)	CG33090 Dmel_CG33090	Drosophila melanogaster (Fruit fly)	799	
X2J9U5	X2J9U5_DROME	unreviewed	CG33090, isoform D (EC 3.2.1.21) (EC 3.2.1.45)	CG33090 Dmel_CG33090	Drosophila melanogaster (Fruit fly)	946	
F7PH22	F7PH22_9EURY	unreviewed	Beta-glucosidase protein (EC 3.2.1.21) (Beta-glucosidase, family GH3) (EC 3.2.1.21)	HLRTI_003187 HTIA_0724	Halorhabdus tiamatea SARL4B	783	
F7PJW4	F7PJW4_9EURY	unreviewed	Beta-glucosidase protein (EC 3.2.1.21) (Beta-glucosidase, family GH3) (EC 3.2.1.21)	HLRTI_000211 HTIA_1431	Halorhabdus tiamatea SARL4B	787	
F7PIP9	F7PIP9_9EURY	unreviewed	Beta-glucosidase protein (EC 3.2.1.21) (Beta-glucosidase, family GH3) (EC 3.2.1.21)	HLRTI_003248 HTIA_1246	Halorhabdus tiamatea SARL4B	743	
